Name*Surname*Surname1*Surname2*Account*Path*Group*DNI*Departament*Enabled*Password*ExpirationAccount*Email*NetTime*Computer*Teletrabajo
Luis*Navarro Ruiz*Navarro*Ruiz*lnavarror*OU=Usuarios,OU=ComiteAcceso,OU=Tirant,DC=tirant,DC=mylocal*GRP_ComiteAcceso*12345678-A*Comite de acceso*yes*Camina-100*20*lnavarror@tirant.mylocal*L-V,07:00-15:00*W11TI-1*S
Susana*Alabau Sancho*Alabau*Sancho*salabaus*OU=Usuarios,OU=ComiteAcceso,OU=Tirant,DC=tirant,DC=mylocal*GRP_ComiteAcceso*12345679-B*Comite de acceso*yes*Camina-100*20*salabaus@tirant.mylocal*L-V,07:00-15:00*W11TI-2*S
Pedro*Gomis Zambujo*Gomis*Zambujo*pgomisz*OU=Usuarios,OU=ComiteAcceso,OU=Tirant,DC=tirant,DC=mylocal*GRP_ComiteAcceso*12345680-C*Comite de acceso*yes*Camina-100*20*pgomisz@tirant.mylocal*L-V,07:00-15:00*W11TI-3*S
Piedad*Valencia Ruiz*Valencia*Ruiz*pvalenciar*OU=Usuarios,OU=ComiteAcceso,OU=Tirant,DC=tirant,DC=mylocal*GRP_ComiteAcceso*12345681-D*Comite de acceso*yes*Camina-100*20*pvalenciar@tirant.mylocal*L-V,07:00-15:00*W11TI-4*S
Manuel*Vargas Coello*Vargas*Coello*mvargasc*OU=Usuarios,OU=ComiteAcceso,OU=Tirant,DC=tirant,DC=mylocal*GRP_ComiteAcceso*12345682-E*Comite de acceso*yes*Camina-100*20*mvargasc@tirant.mylocal*L-V,07:00-15:00*W11TI-5*S
Javier*Arias Pujol*Arias*Pujol*jariasp*OU=Usuarios,OU=ComiteAcceso,OU=Tirant,DC=tirant,DC=mylocal*GRP_ComiteAcceso*12345683-F*Comite de acceso*yes*Camina-100*20*jariasp@tirant.mylocal*L-V,07:00-15:00*W11TI-6*S
Eva*Pellicer Juan*Pellicer*Juan*epellicerj*OU=Usuarios,OU=ComiteAcceso,OU=Tirant,DC=tirant,DC=mylocal*GRP_ComiteAcceso*12345684-G*Comite de acceso*yes*Camina-100*20*epellicerj@tirant.mylocal*L-V,07:00-15:00*W11TI-7*S
Rodrigo*Gallego Chaves*Gallego*Chaves*rgallegoc*OU=Usuarios,OU=ComiteAcceso,OU=Tirant,DC=tirant,DC=mylocal*GRP_ComiteAcceso*12345685-H*Comite de acceso*yes*Camina-100*20*rgallegoc@tirant.mylocal*L-V,07:00-15:00*W11TI-8*S
Johann*Aguilar Alba*Aguilar*Alba*jaguilara*OU=Usuarios,OU=ComiteAcceso,OU=Tirant,DC=tirant,DC=mylocal*GRP_ComiteAcceso*12345686-I*Comite de acceso*yes*Camina-100*20*jaguilara@tirant.mylocal*L-V,07:00-15:00*W11TI-9*S
Pepe*Sancho Carvalho*Sancho*Carvalho*psanchoc*OU=Usuarios,OU=ComiteAcceso,OU=Tirant,DC=tirant,DC=mylocal*GRP_ComiteAcceso*12345687-J*Comite de acceso*yes*Camina-100*20*psanchoc@tirant.mylocal*L-V,07:00-15:00*W11TI-10*S
Sara*Zambujo Campos*Zambujo*Campos*szambujoc*OU=Usuarios,OU=ComiteAcceso,OU=Tirant,DC=tirant,DC=mylocal*GRP_ComiteAcceso*12345688-K*Comite de acceso*yes*Camina-100*20*szambujoc@tirant.mylocal*L-V,07:00-15:00*W11TI-11*S
Isabel*Ruiz Moncho*Ruiz*Moncho*iruizm*OU=Usuarios,OU=ComiteAcceso,OU=Tirant,DC=tirant,DC=mylocal*GRP_ComiteAcceso*12345689-L*Comite de acceso*yes*Camina-100*20*iruizm@tirant.mylocal*L-V,07:00-15:00*W11TI-12*S
Francisco*Coello Alabau*Coello*Alabau*fcoelloa*OU=Usuarios,OU=VisitasGuiadas,OU=Tirant,DC=tirant,DC=mylocal*GRP_VisitasGuiadas*12345690-M*Visitas guiadas*yes*Camina-100*20*fcoelloa@tirant.mylocal*L-V,09:00-14:00;L-V,16:00-19:00*W11TI-36*S
Basilio*Pujol Gomis*Pujol*Gomis*bpujolg*OU=Usuarios,OU=VisitasGuiadas,OU=Tirant,DC=tirant,DC=mylocal*GRP_VisitasGuiadas*12345691-N*Visitas guiadas*yes*Camina-100*20*bpujolg@tirant.mylocal*L-V,09:00-14:00;L-V,16:00-19:00*W11TI-37*S
Mario*Juan Valencia*Juan*Valencia*mjuanv*OU=Usuarios,OU=VisitasGuiadas,OU=Tirant,DC=tirant,DC=mylocal*GRP_VisitasGuiadas*12345692-O*Visitas guiadas*yes*Camina-100*20*mjuanv@tirant.mylocal*L-V,09:00-14:00;L-V,16:00-19:00*W11TI-38*S
Ignacio*Chaves Vargas*Chaves*Vargas*ichavesv*OU=Usuarios,OU=VisitasGuiadas,OU=Tirant,DC=tirant,DC=mylocal*GRP_VisitasGuiadas*12345693-P*Visitas guiadas*yes*Camina-100*20*ichavesv@tirant.mylocal*L-V,09:00-14:00;L-V,16:00-19:00*W11TI-39*S
Laura*Alba Arias*Alba*Arias*lalbaa*OU=Usuarios,OU=VisitasGuiadas,OU=Tirant,DC=tirant,DC=mylocal*GRP_VisitasGuiadas*12345694-Q*Visitas guiadas*yes*Camina-100*20*lalbaa@tirant.mylocal*L-V,09:00-14:00;L-V,16:00-19:00*W11TI-40*S
Jorge*Carvalho Pellicer*Carvalho*Pellicer*jcarvalhop*OU=Usuarios,OU=VisitasGuiadas,OU=Tirant,DC=tirant,DC=mylocal*GRP_VisitasGuiadas*12345695-R*Visitas guiadas*yes*Camina-100*20*jcarvalhop@tirant.mylocal*L-V,09:00-14:00;L-V,16:00-19:00*W11TI-41*S
Antonio*Campos Gallego*Campos*Gallego*acamposg*OU=Usuarios,OU=VisitasGuiadas,OU=Tirant,DC=tirant,DC=mylocal*GRP_VisitasGuiadas*12345696-S*Visitas guiadas*yes*Camina-100*20*acamposg@tirant.mylocal*L-V,09:00-14:00;L-V,16:00-19:00*W11TI-42*S
Claudio*Moncho Aguilar*Moncho*Aguilar*cmonchoa*OU=Usuarios,OU=VisitasGuiadas,OU=Tirant,DC=tirant,DC=mylocal*GRP_VisitasGuiadas*12345697-T*Visitas guiadas*yes*Camina-100*20*cmonchoa@tirant.mylocal*L-V,09:00-14:00;L-V,16:00-19:00*W11TI-43*S
Pepe*Chaves Campos*Chaves*Campos*pchavesc*OU=Usuarios,OU=ProcesosEvaluacion,OU=Tirant,DC=tirant,DC=mylocal*GRP_ProcEvaluacion*12345698-U*Procesos de evaluacion*yes*Camina-100*20*pchavesc@tirant.mylocal*L-V,07:00-15:00;L-V,15:00-23:00*UDTI-1*S
Sara*Alba Moncho*Alba*Moncho*salbam*OU=Usuarios,OU=ProcesosEvaluacion,OU=Tirant,DC=tirant,DC=mylocal*GRP_ProcEvaluacion*12345699-V*Procesos de evaluacion*yes*Camina-100*20*salbam@tirant.mylocal*L-V,07:00-15:00;L-V,15:00-23:00*UDTI-2*S
Isabel*Carvalho Alabau*Carvalho*Alabau*icarvalhoa*OU=Usuarios,OU=ProcesosEvaluacion,OU=Tirant,DC=tirant,DC=mylocal*GRP_ProcEvaluacion*12345700-W*Procesos de evaluacion*yes*Camina-100*20*icarvalhoa@tirant.mylocal*L-V,07:00-15:00;L-V,15:00-23:00*UDTI-3*S
